Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743478319390,3384,3395,3395,3299,20,22.580644607543945,20,28.125,63658.397033691406,4096,444,14709,29,0,111384.13513183594,191149.40740966797,0,16720314368,4294963200,2084581376,853004288
10000,1743478319390,3384,3395,3395,3299,20,22.580644607543945,20,28.125,63658.42791748047,4096,444,14709,29,0,111384.60723876953,191149.6395263672,0,16720314368,4294963200,2076352512,853004288
10000,1743478329390,3384,3395,3395,3299,48.515865325927734,49.13529968261719,47.942386627197266,51.42857360839844,63669.356384277344,4096,444,14458,29,4,111593.57141113281,191246.66131591797,0,16720314368,4294963200,2442960896,853004288
9999,1743478339391,3384,3395,3395,3299,37.13692855834961,37.43482971191406,38.733123779296875,39.08523941040039,63679.357177734375,4096,444,14467,29,0,111801.32916259766,191342.47332763672,0,16720314368,4294963200,2285420544,853004288
9999,1743478349391,3384,3395,3395,3299,2.618328332901001,2.607823610305786,2.412060260772705,2.7135677337646484,63688.205139160156,4096,444,14467,29,0,111918.0287475586,191347.15716552734,0,16720314368,4294963200,2221711360,853004288
9999,1743478359391,3384,3395,3395,3299,30.841121673583984,29.77178382873535,30.14552879333496,34.29158020019531,63698.38458251953,4096,444,14463,29,0,112059.79168701172,191377.06213378906,0,16720314368,4294963200,2124210176,853004288
9999,1743478369391,3384,3395,3395,3299,32.567848205566406,34.13361358642578,33.333335876464844,37.74560546875,63708.84588623047,4096,444,14226,29,0,112202.93377685547,191408.38360595703,0,16720314368,4294963200,2101911552,853004288
10000,1743478379391,3384,3395,3395,3299,36.9134521484375,36.278587341308594,37.1635627746582,41.78644561767578,63719.56768798828,4096,444,14463,29,0,112353.62664794922,191447.30743408203,0,16720314368,4294963200,2136371200,853004288
9999,1743478389392,3384,3395,3395,3299,34.232364654541016,34.024898529052734,34.61139678955078,38.075740814208984,63730.09509277344,4096,444,14467,29,0,112499.60931396484,191481.5283203125,0,16720314368,4294963200,2110529536,853004288
9999,1743478399391,3384,3395,3395,3299,41.5625,39.21162033081055,37.69309997558594,40.92783737182617,63739.89807128906,4096,444,14458,29,0,112766.04504394531,191636.0669555664,0,16720314368,4294963200,2078949376,853004288
9999,1743478409391,3384,3395,3395,3299,63.6363639831543,56.88935470581055,58.749996185302734,54.95307540893555,63750.09393310547,4096,444,14458,29,0,113121.42541503906,191879.52026367188,0,16720314368,4294963200,2095542272,853004288
9999,1743478419392,3384,3395,3395,3299,41.9423713684082,45.05263137817383,42.26253890991211,45.273109436035156,63760.00329589844,4096,444,14221,29,0,113289.31237792969,191935.60974121094,0,16720314368,4294963200,2080604160,853004288
9999,1743478429392,3384,3395,3395,3299,54.38413619995117,52.07039260864258,54.517452239990234,54.062496185302734,63770.085998535156,4096,444,14463,29,0,113594.56481933594,192128.9603881836,0,16720314368,4294963200,2086985728,853004288
9932,1743478439459,3384,3395,3395,3299,32.044761657714844,30.23493194580078,29.53156852722168,34.83146286010742,63780.1123046875,4096,444,14467,29,0,113758.47003173828,192180.1519165039,0,16720314368,4294963200,2099269632,852742144
9999,1743478449392,3384,3395,3395,3299,5.691057205200195,5.268490314483643,5.5780930519104,6.370070457458496,63789.37890625,4096,444,14467,29,0,113887.79296875,192198.31268310547,0,16720314368,4294963200,2119151616,852742144
9999,1743478459392,3384,3395,3395,3299,1.2133468389511108,1.6032063961029053,4.413239479064941,2.106318950653076,63798.77087402344,4096,444,14467,29,0,114005.52117919922,192204.1971435547,0,16720314368,4294963200,2128826368,852742144
9999,1743478469393,3384,3395,3395,3299,2.1212122440338135,2.106318950653076,5.5276384353637695,4.613841533660889,63808.080139160156,4096,444,14467,29,0,114124.02624511719,192210.82391357422,0,16720314368,4294963200,2119335936,852742144
9999,1743478479393,3384,3395,3395,3299,0.3012048006057739,0.30060118436813354,0.20040079951286316,0.20020020008087158,63816.845642089844,4096,444,14467,29,0,114237.70623779297,192212.4688720703,0,16720314368,4294963200,2126757888,852742144
10000,1743478489393,3384,3395,3395,3299,0.20020020008087158,0.40040040016174316,0.30060118436813354,0.20040079951286316,63825.59844970703,4096,444,14467,29,0,114351.04949951172,192213.78411865234,0,16720314368,4294963200,2126745600,852742144
10000,1743478499394,3384,3395,3395,3299,0,0.20060180127620697,0.3003003001213074,0.10010010004043579,63834.34796142578,4096,444,14467,29,0,114464.34533691406,192215.0590209961,0,16720314368,4294963200,2126737408,852742144
9999,1743478509394,3384,3395,3395,3299,0.4000000059604645,0.4008015990257263,0.4008015990257263,0.20040079951286316,63843.11071777344,4096,444,14226,29,0,114577.91296386719,192216.5948486328,0,16720314368,4294963200,2126602240,852742144
9999,1743478519394,3384,3395,3395,3299,0.10020039975643158,0.30060118436813354,0.20060180127620697,0.10010010004043579,63851.86309814453,4096,444,14226,29,0,114691.22619628906,192217.88708496094,0,16720314368,4294963200,2126594048,852742144
9999,1743478529395,3384,3395,3395,3299,0.10020039975643158,0.4008015990257263,0.20040079951286316,0.10020039975643158,63860.612060546875,4096,444,14467,29,0,114804.47174072266,192219.10711669922,0,16720314368,4294963200,2126594048,852742144
9999,1743478539395,3384,3395,3395,3299,0.10020039975643158,0.30090272426605225,0.20040079951286316,0.10010010004043579,63869.36291503906,4096,444,14467,29,0,114917.85577392578,192220.44958496094,0,16720314368,4294963200,2126585856,852742144
9999,1743478549395,3384,3395,3395,3299,0.20000000298023224,0.30090272426605225,0.10020039975643158,0.20020020008087158,63878.112365722656,4096,444,14226,29,0,115031.15692138672,192221.71923828125,0,16720314368,4294963200,2126577664,852742144
9999,1743478559396,3384,3395,3395,3299,0.20040079951286316,0.5,0.3003003001213074,0.10030090063810349,63886.868713378906,4096,444,14226,29,0,115144.55010986328,192223.08740234375,0,16720314368,4294963200,2124951552,852742144
9999,1743478569396,3384,3395,3395,3299,0.10010010004043579,0.4008015990257263,0.40040040016174316,0.3003003001213074,63895.62335205078,4096,444,14467,29,0,115257.84344482422,192224.33764648438,0,16720314368,4294963200,2124943360,852742144
9999,1743478579396,3384,3395,3395,3299,0.10020039975643158,0.20040079951286316,0.10020039975643158,0.10020039975643158,63904.369140625,4096,444,14226,29,0,115370.92041015625,192225.3804321289,0,16720314368,4294963200,2124935168,852742144
10000,1743478589396,3384,3395,3395,3299,0.5010020136833191,0.40040040016174316,1.5045135021209717,0.20020020008087158,63913.128173828125,4096,444,14467,29,0,115485.80773925781,192228.259765625,0,16720314368,4294963200,2124926976,852742144
9999,1743478599396,3384,3395,3395,3299,0.10030090063810349,0.20020020008087158,0.5010020136833191,0.20040079951286316,63921.893798828125,4096,444,14467,29,0,115599.39617919922,192229.7875366211,0,16720314368,4294963200,2123882496,852742144
9999,1743478609397,3384,3395,3395,3299,0.10030090063810349,0.20040079951286316,0.20040079951286316,0.10030090063810349,63930.646423339844,4096,444,14467,29,0,115712.79333496094,192231.15307617188,0,16720314368,4294963200,2123874304,852742144
9999,1743478619397,3384,3395,3395,3299,0.20040079951286316,0.30060118436813354,0.20020020008087158,0.30000001192092896,63939.39514160156,4096,444,14226,29,0,115826.11126708984,192232.439453125,0,16720314368,4294963200,2123866112,852742144
9999,1743478629397,3384,3395,3395,3299,0,0.30060118436813354,0.10030090063810349,0.20020020008087158,63948.14129638672,4096,444,14226,29,0,115939.30749511719,192233.60247802734,0,16720314368,4294963200,2115850240,852742144
9999,1743478639398,3384,3395,3395,3299,0.20020020008087158,0.4000000059604645,0.4000000059604645,0.10020039975643158,63956.896240234375,4096,444,14467,29,0,116052.64465332031,192234.89263916016,0,16720314368,4294963200,2108301312,852742144
22,1743478649398,3384,3395,3395,3299,1.4056224822998047,1.2048192024230957,1.203610897064209,1.2012012004852295,63965.71124267578,4096,444,14467,29,0,116167.51818847656,192237.7349243164,0,16720314368,4294963200,2098819072,852742144
