Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743279983228,800,800,800,800,9.090909004211426,8.69565200805664,9.090909004211426,4.761904716491699,35394.546630859375,4096,410,19526,35,0,107126.95245361328,113986.04675292969,0,16720343040,4294963200,1080029184,1173286912
10000,1743279983228,800,800,800,800,9.090909004211426,8.69565200805664,9.090909004211426,4.761904716491699,35394.589599609375,4096,410,19526,35,0,107127.48431396484,113986.1215209961,0,16720343040,4294963200,1078358016,1173286912
9999,1743279993228,800,800,800,800,4.809618949890137,4.417670726776123,5.970149040222168,3.9840638637542725,35403.84729003906,4096,410,19277,35,0,107248.54376220703,113995.1948852539,0,16720343040,4294963200,1071972352,1171976192
9999,1743280003229,800,800,800,800,1.525941014289856,24.39516258239746,11.222445487976074,3.7111334800720215,35413.520446777344,4096,410,19526,35,0,107386.58935546875,114021.29357910156,0,16720343040,4294963200,1337839616,1171976192
9999,1743280013228,800,800,800,800,56.78392028808594,73.84769439697266,56.613224029541016,56.556556701660156,35432.791748046875,4096,410,19526,35,0,107719.06591796875,114239.05065917969,0,16720343040,4294963200,1757372416,1171976192
10000,1743280023228,800,800,800,800,100,100,100,100,35459.761779785156,4096,410,19277,35,0,108204.61810302734,114607.63330078125,0,16720343040,4294963200,1737641984,1171976192
9999,1743280033229,800,800,800,800,100,100,100,100,35486.7607421875,4096,410,19767,35,0,108688.87548828125,114974.9038696289,0,16720343040,4294963200,1750548480,1171976192
9999,1743280043229,800,800,800,800,100,100,100,100,35514.3857421875,4096,410,19277,35,0,109182.35723876953,115351.0736694336,0,16720343040,4294963200,2638807040,1171451904
9999,1743280053229,800,800,800,800,100,100,100,100,35542.791564941406,4096,410,19518,35,0,109683.45928955078,115734.49530029297,0,16720343040,4294963200,2537775104,1171451904
9999,1743280063229,800,800,800,800,100,100,100,100,35571.15380859375,4096,410,19518,35,0,110185.6587524414,116119.03295898438,0,16720343040,4294963200,2596352000,1171451904
9999,1743280073229,800,800,800,800,100,100,100,100,35599.54815673828,4096,410,19277,35,0,110689.16864013672,116504.89331054688,0,16720343040,4294963200,2553905152,1171451904
9999,1743280083229,800,800,800,800,100,100,100,100,35628.00061035156,4096,410,19277,35,0,111193.82220458984,116891.82501220703,0,16720343040,4294963200,2553286656,1171451904
9999,1743280093229,800,800,800,800,100,99.0009994506836,99,99,35654.34802246094,4096,410,19277,35,0,111693.07635498047,117274.08465576172,0,16720343040,4294963200,5387538432,1171451904
9999,1743280103229,800,800,800,800,100,99.19999694824219,99.19999694824219,99.20079803466797,35682.23468017578,4096,410,19277,35,0,112198.23046875,117661.78118896484,0,16720343040,4294963200,5723930624,1171451904
9999,1743280113229,800,800,800,800,100,100,100,100,35711.53204345703,4096,410,19036,35,0,112706.28784179688,118051.87805175781,0,16720343040,4294963200,5904396288,1171451904
10000,1743280123229,800,800,800,800,100,100,100,100,35740.887145996094,4096,410,19277,35,0,113214.99377441406,118442.59814453125,0,16720343040,4294963200,5938520064,1171451904
9999,1743280133229,800,800,800,800,100,100,99.90010070800781,99.90010070800781,35770.236755371094,4096,410,19277,35,0,113723.89147949219,118833.52099609375,0,16720343040,4294963200,5668175872,1171451904
9999,1743280143229,800,800,800,800,100,100,100,100,35799.416259765625,4096,410,19518,35,0,114233.17407226563,119224.89514160156,0,16720343040,4294963200,5708402688,1171451904
9999,1743280153230,800,800,800,800,100,100,100,100,35828.506896972656,4096,410,19277,35,0,114742.97473144531,119616.78198242188,0,16720343040,4294963200,5587783680,1171451904
9999,1743280163230,800,800,800,800,100,99.9000015258789,100,100,35857.44061279297,4096,410,19277,35,0,115251.85021972656,120007.82434082031,0,16720343040,4294963200,5687865344,1171451904
9999,1743280173230,800,800,800,800,100,100,99.90010070800781,99.9000015258789,35886.55969238281,4096,410,19277,35,0,115760.90270996094,120399.025390625,0,16720343040,4294963200,5905281024,1171451904
9999,1743280183230,800,800,800,800,100,100,100,100,35915.5283203125,4096,410,19277,35,0,116270.03704833984,120790.26928710938,0,16720343040,4294963200,5824393216,1171189760
10000,1743280193230,800,800,800,800,100,99.80000305175781,99.80000305175781,99.79979705810547,35944.050231933594,4096,410,19518,35,0,116779.20721435547,121181.75592041016,0,16720343040,4294963200,5698605056,1171189760
9999,1743280203230,800,800,800,800,100,99.60039520263672,99.69969940185547,99.70030212402344,35972.66516113281,4096,410,19518,35,0,117285.82568359375,121570.66876220703,0,16720343040,4294963200,5570273280,1171189760
9999,1743280213230,800,800,800,800,100,99.89990234375,99.80020141601563,99.80000305175781,36001.068420410156,4096,410,19277,35,0,117795.00701904297,121962.20697021484,0,16720343040,4294963200,5429776384,1171189760
9999,1743280223230,800,800,800,800,100,99.80000305175781,99.80000305175781,99.79979705810547,36029.80303955078,4096,410,19277,35,0,118302.13122558594,122351.56439208984,0,16720343040,4294963200,5741072384,1171189760
9999,1743280233230,800,800,800,800,100,99,99,99.0009994506836,36054.735107421875,4096,410,19277,35,0,118803.4351196289,122736.384765625,0,16720343040,4294963200,13202018304,1171189760
9999,1743280243231,800,800,800,800,61.105525970458984,53.50701141357422,53.313255310058594,54.609222412109375,36069.98944091797,4096,410,19518,35,0,119094.5228881836,122913.87664794922,0,16720343040,4294963200,11268005888,1484247040
9999,1743280253230,800,800,800,800,90.28056335449219,87.68769073486328,86.19999694824219,86.05817413330078,36091.060119628906,4096,410,19518,35,0,119524.81134033203,123228.94165039063,0,16720343040,4294963200,15262736384,1532059648
9999,1743280263230,800,800,800,800,91.6750259399414,88.1526107788086,91.29999542236328,88.08808898925781,36112.09619140625,4096,410,19518,35,0,119979.02355957031,123567.98876953125,0,16720343040,4294963200,12933402624,1514758144
9994,1743280273236,800,800,800,800,90.30000305175781,90.50949096679688,93.88777923583984,90.090087890625,36133.508728027344,4096,410,19277,35,0,120443.74517822266,123917.32055664063,0,16720343040,4294963200,16318730240,1511612416
9999,1743280283231,800,800,800,800,93.17953491210938,93.18637084960938,99.4000015258789,92.29228973388672,36156.232177734375,4096,410,19518,35,0,120921.67974853516,124279.58837890625,0,16720343040,4294963200,15711412224,1513185280
9999,1743280293231,800,800,800,800,93.10689544677734,99.60039520263672,94,93.10689544677734,36178.97766113281,4096,410,19518,35,0,121406.13586425781,124648.3271484375,0,16720343040,4294963200,14738427904,1513185280
9999,1743280303231,800,800,800,800,93.49349212646484,100,93.30000305175781,93.29328918457031,36201.52893066406,4096,410,19277,35,0,121892.94213867188,125019.49530029297,0,16720343040,4294963200,13743845376,1513971712
9999,1743280313231,800,800,800,800,93.21356964111328,99.9000015258789,93.19319152832031,93.20679473876953,36223.60241699219,4096,410,19518,35,0,122381.91333007813,125392.98278808594,0,16720343040,4294963200,12603596800,1513971712
9999,1743280323231,800,800,800,800,89.66900634765625,92.49249267578125,88.9889907836914,88.97795867919922,36245.215270996094,4096,410,19518,35,0,122835.35095214844,125730.98193359375,0,16720343040,4294963200,16096706560,1505058816
9999,1743280333231,800,800,800,800,93.4000015258789,92.9000015258789,99.89990234375,92.90709686279297,36267.81823730469,4096,410,19518,35,0,123316.8793334961,126096.82641601563,0,16720343040,4294963200,15288360960,1549631488
9999,1743280343231,800,800,800,800,93.19319152832031,93.19999694824219,100,93.0999984741211,36290.26110839844,4096,410,19518,35,0,123802.65203857422,126466.96130371094,0,16720343040,4294963200,14097055744,1561427968
9999,1743280353231,800,800,800,800,93.30000305175781,93.30000305175781,99.5999984741211,93.19999694824219,36312.53485107422,4096,410,19518,35,0,124287.28540039063,126836.05401611328,0,16720343040,4294963200,12707540992,1560379392
9999,1743280363231,800,800,800,800,93.29328918457031,93.19999694824219,99.5999984741211,93.19319152832031,36334.89617919922,4096,410,19518,35,0,124771.3383178711,127204.51092529297,0,16720343040,4294963200,11746680832,1559330816
9999,1743280373231,800,800,800,800,93.5999984741211,93.69369506835938,93.0999984741211,97.0999984741211,36357.846740722656,4096,410,19518,35,0,125242.70819091797,127560.06188964844,0,16720343040,4294963200,15599050752,1612636160
9999,1743280383231,800,800,800,800,93.39339447021484,93.39339447021484,93.30000305175781,100,36380.811584472656,4096,410,19277,35,0,125728.50231933594,127930.04315185547,0,16720343040,4294963200,15225384960,1612636160
9999,1743280393231,800,800,800,800,93.70629119873047,93.5999984741211,93.5999984741211,100,36403.84118652344,4096,410,19518,35,0,126215.97967529297,128301.71197509766,0,16720343040,4294963200,14492725248,1612636160
10000,1743280403231,800,800,800,800,93.9000015258789,93.69999694824219,93.69369506835938,100,36426.60418701172,4096,410,19277,35,0,126704.37841796875,128674.39837646484,0,16720343040,4294963200,14156091392,1638424576
9999,1743280413232,800,800,800,800,90.18035888671875,89.68968963623047,92.80718994140625,93.0999984741211,36448.34729003906,4096,410,19277,35,0,127175.10247802734,129029.76055908203,0,16720343040,4294963200,11909414912,1676615680
9999,1743280423233,800,800,800,800,96.4000015258789,96.4000015258789,100,96.40359497070313,36471.62585449219,4096,410,19526,35,0,127669.32800292969,129408.06982421875,0,16720343040,4294963200,16292331520,1676615680
9999,1743280433233,800,800,800,800,93.69999694824219,93.11377716064453,99.39939880371094,93.19319152832031,36494.87957763672,4096,410,19277,35,0,128151.42712402344,129774.25225830078,0,16720343040,4294963200,16171716608,1676615680
9999,1743280443233,800,800,800,800,93.4065933227539,93.29328918457031,92.9000015258789,99.9000015258789,36518.09979248047,4096,410,19518,35,0,128634.21997070313,130141.19213867188,0,16720343040,4294963200,15328354304,1676099584
9999,1743280453233,800,800,800,800,93.59358978271484,93.5,93.49349212646484,100,36540.98034667969,4096,410,19518,35,0,129122.06256103516,130513.29473876953,0,16720343040,4294963200,14403096576,1676886016
9999,1743280463233,800,800,800,800,93.59358978271484,93.5999984741211,93.5064926147461,100,36563.744689941406,4096,410,19518,35,0,129610.59716796875,130886.09765625,0,16720343040,4294963200,13659328512,1676886016
9999,1743280473233,800,800,800,800,93.5,93.49349212646484,93.59358978271484,100,36586.612243652344,4096,410,19277,35,0,130100.2767944336,131260.0274658203,0,16720343040,4294963200,12478156800,1676886016
9999,1743280483233,800,800,800,800,93.69369506835938,93.5999984741211,93.5999984741211,100,36609.43249511719,4096,410,19277,35,0,130590.76568603516,131634.73583984375,0,16720343040,4294963200,11375255552,1676886016
9999,1743280493233,800,800,800,800,96.60340118408203,96.5999984741211,96.69999694824219,99.9000015258789,36632.782165527344,4096,410,19518,35,0,131085.6049194336,132013.64807128906,0,16720343040,4294963200,16180879360,1676886016
9999,1743280503233,800,800,800,800,88.58859252929688,87.30000305175781,89,94.19999694824219,36655.24591064453,4096,410,19277,35,0,131546.30297851563,132358.68017578125,0,16720343040,4294963200,15419166720,1669021696
9999,1743280513233,800,800,800,800,93.5999984741211,100,93.59358978271484,93.5,36678.44403076172,4096,410,19518,35,0,132033.40661621094,132729.95867919922,0,16720343040,4294963200,14808911872,1669021696
9999,1743280523233,800,800,800,800,96.50349426269531,96.20000457763672,92.60739135742188,93.0999984741211,36701.39489746094,4096,410,19518,35,0,132517.72552490234,133098.5267944336,0,16720343040,4294963200,14221684736,1669021696
9999,1743280533233,800,800,800,800,100,93.68737030029297,93.5999984741211,93.59358978271484,36724.260192871094,4096,410,19518,35,0,133008.07904052734,133473.12463378906,0,16720343040,4294963200,12844756992,1669021696
9999,1743280543234,800,800,800,800,100,93.80619812011719,93.89389038085938,93.80619812011719,36747.002685546875,4096,410,19518,35,0,133498.21087646484,133847.56225585938,0,16720343040,4294963200,12131885056,1668759552
9999,1743280553233,800,800,800,800,100,96.30000305175781,96.1077880859375,96.30000305175781,36770.352478027344,4096,410,19518,35,0,133992.24884033203,134225.69464111328,0,16720343040,4294963200,16310112256,1668759552
9999,1743280563234,800,800,800,800,100,93.39339447021484,93.48697662353516,93.39339447021484,36793.50750732422,4096,410,19759,35,0,134476.83825683594,134594.3998413086,0,16720343040,4294963200,15786115072,1668759552
9999,1743280573234,800,800,800,800,100,93.5,93.4065933227539,93.4065933227539,36816.74133300781,4096,410,19518,35,0,134961.68145751953,134963.38580322266,0,16720343040,4294963200,15183192064,1668759552
9999,1743280583234,800,800,800,800,99.69999694824219,93.5,93.29328918457031,93.80000305175781,36839.97314453125,4096,410,19277,35,0,135448.87231445313,135334.71783447266,0,16720343040,4294963200,14629064704,1671380992
9999,1743280593234,800,800,800,800,93.80000305175781,100,93.79379272460938,93.79379272460938,36863.25109863281,4096,410,19277,35,0,135937.47912597656,135707.4530029297,0,16720343040,4294963200,14222020608,1671380992
9999,1743280603234,800,800,800,800,94.0940933227539,100,94.00599670410156,94,36886.57244873047,4096,410,19518,35,0,136428.56274414063,136082.62188720703,0,16720343040,4294963200,13342883840,1671380992
9999,1743280613234,800,800,800,800,94.00599670410156,100,93.99398803710938,93.90608978271484,36909.762145996094,4096,410,19518,35,0,136920.41485595703,136458.57720947266,0,16720343040,4294963200,12701585408,1671380992
9999,1743280623234,800,800,800,800,94,100,93.91217803955078,94,36933.003662109375,4096,410,19518,35,0,137411.52728271484,136833.83782958984,0,16720343040,4294963200,12210335744,1671380992
9999,1743280633234,800,800,800,800,95.59559631347656,98.8989028930664,96.29629516601563,95.99600219726563,36956.34948730469,4096,410,19518,35,0,137903.2615966797,137209.64178466797,0,16720343040,4294963200,15354355712,1677164544
9999,1743280643234,800,800,800,800,93.5999984741211,93.80000305175781,95.6043930053711,97.50250244140625,36979.86755371094,4096,410,19518,35,0,138387.4810180664,137577.88598632813,0,16720343040,4294963200,15937835008,1677164544
9999,1743280653234,800,800,800,800,93.69999694824219,93.70629119873047,93.68737030029297,100,37003.08331298828,4096,410,19277,35,0,138874.96185302734,137949.49645996094,0,16720343040,4294963200,15708258304,1677164544
9999,1743280663234,800,800,800,800,93.69999694824219,93.29328918457031,93.30669403076172,99.30069732666016,37026.25653076172,4096,410,19518,35,0,139360.38006591797,138319.06353759766,0,16720343040,4294963200,15124549632,1677426688
