Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742916786040,800,800,800,800,4.545454502105713,4.545454502105713,4.761904716491699,0,226180.9666748047,4096,390,14709,32,0,114049.19421386719,114712.17254638672,0,16720330752,4294963200,1075163136,1108000768
10000,1742916786040,800,800,800,800,4.545454502105713,4.545454502105713,4.761904716491699,0,226181.00897216797,4096,390,14709,32,0,114049.72369384766,114712.24041748047,0,16720330752,4294963200,1075171328,1108000768
9999,1742916796040,800,800,800,800,4.195804119110107,5.025125503540039,3.9000000953674316,3.493013858795166,226190.23272705078,4096,390,14709,32,0,114171.04846191406,114721.5834350586,0,16720330752,4294963200,1087201280,1107214336
9999,1742916806041,800,800,800,800,5.348133087158203,5.583756446838379,8.844221115112305,4.028197288513184,226199.63153076172,4096,397,15191,32,4,114294.90301513672,114733.45751953125,0,16720330752,4294963200,1230659584,1106165760
9999,1742916816041,800,800,800,800,7.474747180938721,6.014271259307861,6.3380279541015625,5.633802890777588,226209.05017089844,4096,404,18566,32,0,114415.82104492188,114742.43627929688,0,16720330752,4294963200,1267556352,1104855040
9999,1742916826041,800,800,800,800,4.448938369750977,4.065040588378906,2.429149866104126,5.8526740074157715,226218.43658447266,4096,390,18325,32,0,114534.86401367188,114749.51708984375,0,16720330752,4294963200,1306763264,1104855040
9999,1742916836041,800,800,800,800,4.339051723480225,8.138351440429688,4.833837032318115,6.243706226348877,226227.8662109375,4096,390,18325,32,0,114657.5693359375,114760.26556396484,0,16720330752,4294963200,1350586368,1104855040
9999,1742916846041,800,800,800,800,55.3212890625,46.27016067504883,46.58634567260742,50.75225830078125,226245.2935180664,4096,390,18554,32,0,114946.93817138672,114935.41693115234,0,16720330752,4294963200,1828982784,1101185024
9999,1742916856041,800,800,800,800,100,100,100,100,226272.576171875,4096,390,18313,32,0,115434.13635253906,115305.5228881836,0,16720330752,4294963200,1766195200,1101185024
9999,1742916866041,800,800,800,800,100,100,100,100,226299.90692138672,4096,390,14463,32,0,115920.6484375,115674.92834472656,0,16720330752,4294963200,1753530368,1101185024
9999,1742916876041,800,800,800,800,100,100,100,100,226327.93298339844,4096,390,14463,32,0,116416.41955566406,116053.23657226563,0,16720330752,4294963200,2624557056,1101185024
9999,1742916886041,800,800,800,800,100,100,100,100,226356.85424804688,4096,390,14463,32,0,116920.90447998047,116439.86029052734,0,16720330752,4294963200,2589065216,1101185024
9999,1742916896041,800,800,800,800,100,100,100,100,226385.7841796875,4096,390,14467,32,0,117427.0625,116828.15362548828,0,16720330752,4294963200,2579206144,1100922880
9999,1742916906041,800,800,800,800,100,100,100,100,226414.85583496094,4096,390,14458,32,0,117934.162109375,117217.33197021484,0,16720330752,4294963200,2548830208,1100922880
9999,1742916916041,800,800,800,800,100,100,100,100,226443.80181884766,4096,390,14463,32,0,118442.11444091797,117607.42333984375,0,16720330752,4294963200,2595840000,1100922880
9999,1742916926042,800,800,800,800,98.79879760742188,98.80120086669922,98.79999542236328,100,226470.3446044922,4096,390,14458,32,0,118943.5816040039,117991.86901855469,0,16720330752,4294963200,5218426880,1100922880
9999,1742916936042,800,800,800,800,99.20079803466797,99.19920349121094,99.19999694824219,100,226498.50805664063,4096,390,14458,32,0,119452.12921142578,118382.85943603516,0,16720330752,4294963200,5566140416,1100922880
9999,1742916946042,800,800,800,800,99.9000015258789,100,100,99.9000015258789,226527.80181884766,4096,390,14463,32,0,119961.46618652344,118774.18041992188,0,16720330752,4294963200,5882310656,1100660736
9999,1742916956042,800,800,800,800,100,99.9000015258789,99.80039978027344,99.89990234375,226557.25268554688,4096,390,14463,32,0,120472.30895996094,119167.00396728516,0,16720330752,4294963200,5761843200,1100660736
9999,1742916966042,800,800,800,800,100,100,100,100,226586.98095703125,4096,390,14463,32,0,120985.71704101563,119562.28625488281,0,16720330752,4294963200,5692485632,1100398592
9999,1742916976042,800,800,800,800,100,100,100,100,226616.38592529297,4096,390,14463,32,0,121497.91467285156,119956.46185302734,0,16720330752,4294963200,5642743808,1100398592
10000,1742916986042,800,800,800,800,100,100,100,99.9000015258789,226645.5174560547,4096,390,14699,32,0,122008.79113769531,120349.43743896484,0,16720330752,4294963200,5763141632,1100398592
9999,1742916996042,800,800,800,800,100,99.89990234375,99.9000015258789,99.9000015258789,226674.4838256836,4096,390,14458,32,0,122519.5267944336,120742.30407714844,0,16720330752,4294963200,5505560576,1100136448
10000,1742917006042,800,800,800,800,100,100,100,100,226703.8705444336,4096,390,14458,32,0,123032.10729980469,121136.9008178711,0,16720330752,4294963200,5508038656,1100136448
9999,1742917016042,800,800,800,800,100,99.90010070800781,100,100,226733.14837646484,4096,390,14458,32,0,123544.7681274414,121531.59118652344,0,16720330752,4294963200,5622628352,1100136448
