Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1742908095996,800,800,800,800,23.68421173095703,10.256410598754883,17.948719024658203,12.820513725280762,206427.34936523438,4096,421,20008,36,0,255281.65606689453,94428.4340209961,0,16720330752,4294963200,1104281600,1165471744
10000,1742908095996,800,800,800,800,23.68421173095703,10.256410598754883,17.948719024658203,12.820513725280762,206427.3916015625,4096,421,20008,36,0,255282.19403076172,94428.51635742188,0,16720330752,4294963200,1104379904,1165471744
9999,1742908105996,800,800,800,800,5.976095676422119,5.035246849060059,5.734406471252441,4.599999904632568,206436.70733642578,4096,423,20491,36,1,255403.33337402344,94437.6763305664,0,16720330752,4294963200,1127997440,1163374592
9999,1742908115996,800,800,800,800,13.838383674621582,1.2170385122299194,2.0202019214630127,3.018108606338501,206446.0121459961,4096,423,20008,36,0,255525.32916259766,94447.69946289063,0,16720330752,4294963200,1253801984,1162850304
9999,1742908125997,800,800,800,800,28.64321517944336,28.859737396240234,28.400001525878906,61.847389221191406,206460.43731689453,4096,423,20249,36,0,255761.23303222656,94570.31286621094,0,16720330752,4294963200,1764286464,1162850304
9999,1742908135997,800,800,800,800,100,100,100,100,206487.72161865234,4096,423,19767,36,0,256247.9584350586,94939.94427490234,0,16720330752,4294963200,1735643136,1162850304
9999,1742908145997,800,800,800,800,100,100,100,100,206515.04663085938,4096,423,20249,36,0,256734.9295654297,95309.80584716797,0,16720330752,4294963200,1732493312,1162850304
9999,1742908155997,800,800,800,800,100,100,100,100,206542.7822265625,4096,423,19759,36,0,257229.63903808594,95687.18353271484,0,16720330752,4294963200,2551951360,1162850304
9999,1742908165997,800,800,800,800,100,100,100,100,206571.70703125,4096,423,19526,36,0,257735.51861572266,96075.20184326172,0,16720330752,4294963200,2578415616,1162850304
9999,1742908175997,800,800,800,800,100,100,100,100,206600.67028808594,4096,423,19767,36,0,258242.54327392578,96464.3609008789,0,16720330752,4294963200,2594947072,1162850304
9999,1742908185997,800,800,800,800,100,100,100,100,206629.59936523438,4096,423,19767,36,0,258750.68463134766,96854.63745117188,0,16720330752,4294963200,2531569664,1162850304
9999,1742908195997,800,800,800,800,100,100,100,100,206658.50701904297,4096,423,20008,36,0,259259.77655029297,97245.81854248047,0,16720330752,4294963200,2516930560,1162850304
9999,1742908205997,800,800,800,800,99.0009994506836,100,99.0990982055664,99,206685.64868164063,4096,423,19759,36,0,259764.6880493164,97633.49133300781,0,16720330752,4294963200,4477771776,1162850304
9999,1742908215997,800,800,800,800,99.4000015258789,100,99.30069732666016,99.4000015258789,206713.40325927734,4096,423,20000,36,0,260270.69537353516,98022.07983398438,0,16720330752,4294963200,5546332160,1162850304
9999,1742908225997,800,800,800,800,100,100,100,100,206742.6742553711,4096,423,20000,36,0,260783.00561523438,98416.43127441406,0,16720330752,4294963200,5539426304,1162850304
9999,1742908235997,800,800,800,800,99.90010070800781,100,99.90010070800781,99.9000015258789,206771.6824951172,4096,423,20008,36,0,261294.49279785156,98810.06280517578,0,16720330752,4294963200,5714075648,1162850304
9999,1742908245997,800,800,800,800,100,100,100,100,206800.99670410156,4096,423,20000,36,0,261806.27478027344,99203.8609008789,0,16720330752,4294963200,5601103872,1162850304
9999,1742908255998,800,800,800,800,99.90010070800781,100,100,99.90010070800781,206830.08459472656,4096,423,20000,36,0,173.86920166015625,99597.53833007813,0,16720330752,4294963200,5554077696,1162850304
9999,1742908265998,800,800,800,800,100,100,99.90010070800781,100,206858.63134765625,4096,423,19759,36,0,685.0203247070313,99990.98266601563,0,16720330752,4294963200,5640208384,1162588160
9999,1742908275998,800,800,800,800,99.9000015258789,100,100,99.9000015258789,206887.9766845703,4096,423,20000,36,0,1198.4429931640625,100386.41955566406,0,16720330752,4294963200,5607211008,1162588160
9999,1742908285998,800,800,800,800,100,100,100,100,206917.25061035156,4096,423,20000,36,0,1712.469482421875,100782.42102050781,0,16720330752,4294963200,5788504064,1162588160
9999,1742908295998,800,800,800,800,100,100,100,100,206946.38775634766,4096,423,19759,36,0,2226.0547485351563,101178.14678955078,0,16720330752,4294963200,5755744256,1162588160
9999,1742908305998,800,800,800,800,100,100,99.9000015258789,100,206975.73431396484,4096,423,19759,36,0,2739.2034301757813,101573.24462890625,0,16720330752,4294963200,5608091648,1162588160
9999,1742908315998,800,800,800,800,100,100,100,100,207004.96307373047,4096,423,19526,36,0,3251.5374145507813,101967.63177490234,0,16720330752,4294963200,5643280384,1162588160
9999,1742908325998,800,800,800,800,99.80000305175781,100,99.80000305175781,99.80020141601563,207033.34869384766,4096,423,19759,36,0,3761.7920532226563,102360.23937988281,0,16720330752,4294963200,5518807040,1162588160
9999,1742908335998,800,800,800,800,99.69999694824219,100,99.69999694824219,99.69999694824219,207061.80670166016,4096,423,20008,36,0,4273.442443847656,102754.21435546875,0,16720330752,4294963200,5578309632,1162588160
9999,1742908345998,800,800,800,800,98.69999694824219,100,98.79999542236328,98.69999694824219,207086.71997070313,4096,423,19759,36,0,4775.143798828125,103139.42694091797,0,16720330752,4294963200,13226151936,1162588160
9999,1742908355998,800,800,800,800,86.71328735351563,90.47142028808594,87.5,86.78678894042969,207107.64624023438,4096,423,20008,36,0,5228.87255859375,103477.9638671875,0,16720330752,4294963200,16167567360,1234489344
9999,1742908365998,800,800,800,800,93.18637084960938,100,93.09309387207031,93,207130.14916992188,4096,423,19767,36,0,5714.213928222656,103847.65405273438,0,16720330752,4294963200,15449796608,1234751488
9999,1742908375998,800,800,800,800,93.10689544677734,100,93.19999694824219,93.19999694824219,207152.71716308594,4096,423,20008,36,0,6203.101623535156,104220.79248046875,0,16720330752,4294963200,14452969472,1234751488
9986,1742908386012,800,800,800,800,93.69999694824219,99.5009994506836,92.21556854248047,93.71257781982422,207175.45458984375,4096,423,19759,36,0,6692.556884765625,104594.42626953125,0,16720330752,4294963200,13512912896,1243623424
9999,1742908395999,800,800,800,800,93.59358978271484,93.68737030029297,93.68104553222656,100,207197.79443359375,4096,423,20008,36,0,7185.0538330078125,104971.45947265625,0,16720330752,4294963200,12926533632,1243361280
10000,1742908405999,800,800,800,800,94.40559387207031,94.5,94.4000015258789,100,207220.6898803711,4096,423,19759,36,0,7678.0205078125,105348.669921875,0,16720330752,4294963200,13041168384,1243361280
9999,1742908416000,800,800,800,800,94.49449157714844,95.80000305175781,96.00399780273438,99.19920349121094,207244.22790527344,4096,423,19767,36,0,8169.547302246094,105724.17541503906,0,16720330752,4294963200,16329613312,1243099136
9999,1742908426000,800,800,800,800,93.80000305175781,93.80000305175781,100,94.0999984741211,207267.57623291016,4096,423,19518,36,0,8658.904724121094,106097.60266113281,0,16720330752,4294963200,15557550080,1243099136
9999,1742908436000,800,800,800,800,94.0999984741211,94.2942886352539,100,94.0999984741211,207290.96533203125,4096,423,19759,36,0,9150.073791503906,106472.83203125,0,16720330752,4294963200,15487692800,1243361280
9999,1742908446000,800,800,800,800,94.2942886352539,94.19999694824219,100,94.20579528808594,207314.7138671875,4096,423,19767,36,0,9643.180908203125,106849.89428710938,0,16720330752,4294963200,15024144384,1243361280
9999,1742908456000,800,800,800,800,93.5,96.59659576416016,96,93.59358978271484,207338.04431152344,4096,423,20000,36,0,10128.127746582031,107218.93292236328,0,16720330752,4294963200,14636662784,1244680192
9973,1742908466026,800,800,800,800,94.21157836914063,96.20758056640625,97.10867309570313,94.51644897460938,207361.681640625,4096,423,20008,36,0,10621.138000488281,107595.6625366211,0,16720330752,4294963200,14307012608,1246253056
9999,1742908476000,800,800,800,800,94.58917999267578,94.48897552490234,100,94.58917999267578,207385.18310546875,4096,423,19759,36,0,11114.420532226563,107973.24981689453,0,16720330752,4294963200,13937201152,1247309824
9999,1742908486000,800,800,800,800,94.69469451904297,94.70000457763672,100,94.59458923339844,207409.06512451172,4096,423,19759,36,0,11609.717529296875,108352.46496582031,0,16720330752,4294963200,13720444928,1250709504
9999,1742908496000,800,800,800,800,94.70000457763672,94.30000305175781,99.89990234375,94.19999694824219,207432.47033691406,4096,423,19767,36,0,12103.111206054688,108729.94537353516,0,16720330752,4294963200,12388552704,1390624768
9983,1742908506017,800,800,800,800,94.81037902832031,99.40059661865234,94.61077880859375,94.80519104003906,207456.1314086914,4096,423,19759,36,0,12596.348815917969,109106.94482421875,0,16720330752,4294963200,12618399744,1409835008
9999,1742908516001,800,800,800,800,94.98998260498047,96.59659576416016,95.58676147460938,99.19839477539063,207480.4757080078,4096,423,19767,36,0,13088.487915039063,109483.0131225586,0,16720330752,4294963200,16129839104,1409572864
9999,1742908526001,800,800,800,800,93.29328918457031,93.5,99.29999542236328,94.5,207504.42578125,4096,423,20008,36,0,13577.804931640625,109856.15057373047,0,16720330752,4294963200,16020324352,1408262144
9999,1742908536001,800,800,800,800,94.19999694824219,94.30000305175781,99.80020141601563,94.30569458007813,207528.3833618164,4096,423,20008,36,0,14071.557922363281,110233.77612304688,0,16720330752,4294963200,15647756288,1408262144
9999,1742908546001,800,800,800,800,94.5999984741211,94.5,100,94.5,207552.24676513672,4096,423,20000,36,0,14566.404968261719,110612.5205078125,0,16720330752,4294963200,15713968128,1408262144
9999,1742908556001,800,800,800,800,94.39439392089844,94.4000015258789,99.9000015258789,94.39439392089844,207576.2315673828,4096,423,19759,36,0,15060.3603515625,110990.36315917969,0,16720330752,4294963200,15852900352,1408000000
9999,1742908566001,800,800,800,800,92.69999694824219,94.1941909790039,92.69268798828125,100,207600.15399169922,4096,423,20000,36,0,15549.855285644531,111363.7593383789,0,16720330752,4294963200,15068377088,1424252928
9999,1742908576001,800,800,800,800,94.30000305175781,94,96.99700164794922,96.9000015258789,207623.87921142578,4096,423,20008,36,0,16041.789428710938,111739.65686035156,0,16720330752,4294963200,14435803136,1424252928
9999,1742908586001,800,800,800,800,94.4000015258789,94.4000015258789,100,94.2942886352539,207647.62982177734,4096,423,19759,36,0,16536.37432861328,112118.1918334961,0,16720330752,4294963200,14625501184,1423990784
10001,1742908596001,800,800,800,800,93.29328918457031,94.30569458007813,96.30369567871094,95.60877990722656,207671.36486816406,4096,423,19759,36,0,17026.459838867188,112492.2651977539,0,16720330752,4294963200,13569974272,1425825792
10000,1742908606003,800,800,800,800,93.00698852539063,96.9000015258789,93.0999984741211,97.29730224609375,207694.7261352539,4096,423,19767,36,0,17519.78253173828,112869.6376953125,0,16720330752,4294963200,12842545152,1425825792
9999,1742908616004,800,800,800,800,94.2942886352539,94.2942886352539,94.19999694824219,99.9000015258789,207718.24627685547,4096,423,20008,36,0,18013.67236328125,113247.55157470703,0,16720330752,4294963200,11587559424,1425825792
9999,1742908626004,800,800,800,800,96,95.99600219726563,96.09609985351563,100,207741.84545898438,4096,423,19767,36,0,18510.562438964844,113628.39678955078,0,16720330752,4294963200,14818435072,1424777216
9999,1742908636004,800,800,800,800,94.9000015258789,95,95,99.80020141601563,207765.78228759766,4096,423,19759,36,0,19003.24285888672,114004.9574584961,0,16720330752,4294963200,16322424832,1424777216
9999,1742908646004,800,800,800,800,93.9000015258789,96.5999984741211,94.2942886352539,96.19619750976563,207789.8133544922,4096,423,19759,36,0,19489.899475097656,114375.42974853516,0,16720330752,4294963200,15931596800,1424777216
9999,1742908656004,800,800,800,800,96.59659576416016,92.5999984741211,94.0999984741211,95.6957015991211,207813.83221435547,4096,423,19759,36,0,19976.19891357422,114745.55462646484,0,16720330752,4294963200,14930599936,1425301504
9999,1742908666004,800,800,800,800,94.69469451904297,94.5999984741211,94.5999984741211,100,207837.69146728516,4096,423,20008,36,0,20471.055053710938,115124.32263183594,0,16720330752,4294963200,14848000000,1425301504
9999,1742908676004,800,800,800,800,94.60539245605469,94.60539245605469,94.5999984741211,100,207861.75494384766,4096,423,20008,36,0,20967.029541015625,115504.12615966797,0,16720330752,4294963200,14764924928,1425301504
9999,1742908686004,800,800,800,800,93.99398803710938,93.99398803710938,95,99.79979705810547,207885.9493408203,4096,423,20000,36,0,21460.183654785156,115881.09399414063,0,16720330752,4294963200,14375026688,1425301504
9999,1742908696004,800,800,800,800,94.70000457763672,94.70000457763672,100,94.70000457763672,207910.17486572266,4096,423,20000,36,0,21954.967163085938,116259.68487548828,0,16720330752,4294963200,14301323264,1425039360
9999,1742908706004,800,800,800,800,94.5999984741211,94.59458923339844,99.79979705810547,94.59458923339844,207934.1674194336,4096,423,19759,36,0,22449.63751220703,116638.16912841797,0,16720330752,4294963200,14579003392,1425039360
9999,1742908716005,800,800,800,800,94.1941909790039,94.30569458007813,99.0009994506836,93.80000305175781,207958.04748535156,4096,423,19759,36,0,22939.793518066406,117012.21154785156,0,16720330752,4294963200,14930063360,1425039360
9999,1742908726005,800,800,800,800,94.80000305175781,94.30000305175781,93.5,99.5,207982.4022216797,4096,423,19759,36,0,23432.43719482422,117388.59735107422,0,16720330752,4294963200,14277488640,1425039360
10001,1742908736005,800,800,800,800,94.5999984741211,99.80000305175781,94.59458923339844,94.5054931640625,208006.38690185547,4096,423,20008,36,0,23927.73895263672,117767.76782226563,0,16720330752,4294963200,13653872640,1424777216
9999,1742908746007,800,800,800,800,94.79479217529297,100,94.80000305175781,94.79479217529297,208030.51959228516,4096,423,19759,36,0,24422.52276611328,118146.36737060547,0,16720330752,4294963200,13070446592,1424777216
9999,1742908756007,800,800,800,800,94.9000015258789,100,94.9000015258789,94.80519104003906,208054.5086669922,4096,423,19759,36,0,24918.1953125,118525.76593017578,0,16720330752,4294963200,13284880384,1424777216
9999,1742908766007,800,800,800,800,94.9000015258789,100,94.89488983154297,94.9000015258789,208078.53002929688,4096,423,19754,36,0,25413.370544433594,118904.92749023438,0,16720330752,4294963200,12700274688,1424777216
9999,1742908776007,800,800,800,800,94.80519104003906,94.61077880859375,99.80020141601563,94.70000457763672,208102.60430908203,4096,423,19767,36,0,25907.813354492188,119283.23992919922,0,16720330752,4294963200,12815101952,1424515072
9999,1742908786007,800,800,800,800,94.79479217529297,94.79479217529297,100,94.79479217529297,208126.73046875,4096,423,19754,36,0,26403.200805664063,119662.41955566406,0,16720330752,4294963200,12825980928,1424515072
9999,1742908796007,800,800,800,800,95.5,95.50450134277344,100,95.50450134277344,208150.72918701172,4096,423,19759,36,0,26899.64288330078,120042.71301269531,0,16720330752,4294963200,14231191552,1424515072
9999,1742908806007,800,800,800,800,95.99600219726563,95.7957992553711,99.5,95.0999984741211,208174.94982910156,4096,423,19767,36,0,27394.56884765625,120421.45440673828,0,16720330752,4294963200,16229298176,1424515072
9999,1742908816007,800,800,800,800,94.80519104003906,94.80000305175781,99.69999694824219,93.9000015258789,208199.2530517578,4096,423,19767,36,0,27885.72393798828,120796.33166503906,0,16720330752,4294963200,16076644352,1423990784
9999,1742908826007,800,800,800,800,94.79479217529297,94.79479217529297,100,94.80000305175781,208223.2435913086,4096,423,19767,36,0,28380.597595214844,121175.02514648438,0,16720330752,4294963200,15897878528,1423728640
9999,1742908836007,800,800,800,800,94.79479217529297,94.80519104003906,100,94.79479217529297,208247.37048339844,4096,423,20008,36,0,28875.64453125,121553.8793334961,0,16720330752,4294963200,15785656320,1423728640
9999,1742908846008,800,800,800,800,94.90509796142578,94.9000015258789,100,94.9000015258789,208271.39135742188,4096,423,19526,36,0,29371.32354736328,121933.39819335938,0,16720330752,4294963200,15830278144,1423728640
10000,1742908856008,800,800,800,800,94.59458923339844,97.39999389648438,96.30000305175781,93.5,208295.60571289063,4096,423,19767,36,0,29860.608032226563,122306.4487915039,0,16720330752,4294963200,15648989184,1423728640
9999,1742908866008,800,800,800,800,67,69.12210083007813,71.25627899169922,69.0690689086914,208314.9530029297,4096,423,20008,36,0,30251.00567626953,122582.05108642578,0,16720330752,4294963200,11786756096,1423990784
9999,1742908876008,800,800,800,800,2.7162978649139404,12.0162935256958,5.864509582519531,0.20040079951286316,208324.68060302734,4096,423,19767,36,0,30380.509521484375,122599.54217529297,0,16720330752,4294963200,1689055232,1385717760
22,1742908886008,800,800,800,800,2.6209676265716553,2.4390242099761963,3.7373735904693604,2.510040283203125,208333.82989501953,4096,423,19767,36,0,30501.40771484375,122608.44708251953,0,16720330752,4294963200,1073225728,1180721152
