Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,DRAM_ENERGY (J),GPU0_MEMORY_TOTAL,GPU0_MEMORY_USED,GPU0_POWER (mWatts),GPU0_TEMPERATURE,GPU0_USAGE,PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1743469515041,3300,3299,3300,3304,26.666667938232422,13.333333969116211,13.333333969116211,13.333333969116211,55916.09509277344,4096,454,14467,29,0,9808.5400390625,188202.78588867188,0,16720314368,4294963200,2026913792,856150016
10000,1743469515041,3300,3299,3300,3304,26.666667938232422,13.333333969116211,13.333333969116211,13.333333969116211,55916.12268066406,4096,454,14467,29,0,9809.011169433594,188203.05682373047,0,16720314368,4294963200,2021634048,856150016
9999,1743469525042,3300,3299,3300,3304,2.9970028400421143,2.095808506011963,2.8913259506225586,1.5984015464782715,55925.00622558594,4096,454,14467,29,4,9926.134643554688,188208.14013671875,0,16720314368,4294963200,2022735872,856150016
9999,1743469535042,3300,3299,3300,3304,0.30060118436813354,0.4008015990257263,0.4008015990257263,0.10030090063810349,55933.76550292969,4096,454,14467,29,0,10039.504211425781,188209.48901367188,0,16720314368,4294963200,2031476736,856150016
9999,1743469545043,3300,3299,3300,3304,0.20040079951286316,0.3003003001213074,0.20040079951286316,0.20000000298023224,55942.5205078125,4096,454,14467,29,0,10152.871765136719,188210.82977294922,0,16720314368,4294963200,2024480768,856150016
9999,1743469555043,3300,3299,3300,3304,0.20040079951286316,0.40040040016174316,0.30000001192092896,0.20020020008087158,55951.277770996094,4096,454,14467,29,0,10266.289672851563,188212.22332763672,0,16720314368,4294963200,2019966976,856150016
9999,1743469565043,3300,3299,3300,3304,0.3003003001213074,0.3003003001213074,0.20040079951286316,0.20040079951286316,55960.028564453125,4096,454,14467,29,0,10379.717041015625,188213.61206054688,0,16720314368,4294963200,2020192256,856150016
9999,1743469575044,3300,3299,3300,3304,0,0.20040079951286316,0.10020039975643158,0.10030090063810349,55968.7763671875,4096,454,14467,29,0,10493.017517089844,188214.8890991211,0,16720314368,4294963200,2019323904,856150016
9999,1743469585044,3300,3299,3300,3304,0.6012023687362671,0.3003003001213074,1.4028056859970093,0.20020020008087158,55977.53204345703,4096,454,14467,29,0,10607.735595703125,188217.58715820313,0,16720314368,4294963200,2019811328,856150016
9999,1743469595044,3300,3299,3300,3304,0.10020039975643158,0.30060118436813354,0.30060118436813354,0.20020020008087158,55986.28796386719,4096,454,14467,29,0,10721.127807617188,188218.94256591797,0,16720314368,4294963200,2036813824,856150016
9999,1743469605045,3300,3299,3300,3304,0.20040079951286316,0.40040040016174316,0.20020020008087158,0.10030090063810349,55995.0361328125,4096,454,14226,29,0,10834.356689453125,188220.14672851563,0,16720314368,4294963200,2020548608,856150016
9999,1743469615045,3300,3299,3300,3304,0.20000000298023224,0.30060118436813354,0.20040079951286316,0.3003003001213074,56003.79132080078,4096,454,14467,29,0,10947.713256835938,188221.47918701172,0,16720314368,4294963200,2020786176,856150016
9999,1743469625045,3300,3299,3300,3304,0.10020039975643158,0.40040040016174316,0.10020039975643158,0.20020020008087158,56012.536865234375,4096,454,14226,29,0,11060.810913085938,188222.53631591797,0,16720314368,4294963200,2021023744,856150016
10000,1743469635045,3300,3299,3300,3304,0.3003003001213074,0.30060118436813354,0.20000000298023224,0.3003003001213074,56021.29425048828,4096,454,14467,29,0,11174.226318359375,188223.9457397461,0,16720314368,4294963200,2021261312,856150016
9999,1743469645046,3300,3299,3300,3304,0.10010010004043579,0.30060118436813354,0.3003003001213074,0.20040079951286316,56030.04650878906,4096,454,14226,29,0,11287.531127929688,188225.20819091797,0,16720314368,4294963200,2021498880,856150016
9999,1743469655046,3300,3299,3300,3304,0.20020020008087158,0.4008015990257263,0.10020039975643158,0.3003003001213074,56038.799377441406,4096,454,14467,29,0,11400.92578125,188226.56701660156,0,16720314368,4294963200,2021736448,856150016
9999,1743469665046,3300,3299,3300,3304,0.10020039975643158,0.30060118436813354,0.20040079951286316,0.20040079951286316,56047.547790527344,4096,454,14467,29,0,11514.271484375,188227.88903808594,0,16720314368,4294963200,2021974016,856150016
9999,1743469675047,3300,3299,3300,3304,0.10030090063810349,0.30060118436813354,0.3003003001213074,0.3003003001213074,56056.303283691406,4096,454,14467,29,0,11627.719787597656,188229.31341552734,0,16720314368,4294963200,2021949440,856150016
9999,1743469685047,3300,3299,3300,3304,0.20020020008087158,0.3003003001213074,0,0.20060180127620697,56065.053955078125,4096,454,14467,29,0,11741.043212890625,188230.5982055664,0,16720314368,4294963200,2036944896,856150016
9999,1743469695047,3300,3299,3300,3304,0.20020020008087158,0.30060118436813354,0.3003003001213074,0.39960038661956787,56073.806701660156,4096,454,14467,29,0,11854.315734863281,188231.84600830078,0,16720314368,4294963200,2020040704,856150016
23,1743469705047,3300,3299,3300,3304,1.7068272829055786,1.600000023841858,1.3013012409210205,1.2048192024230957,56082.62829589844,4096,454,14467,29,0,11969.133728027344,188234.64965820313,0,16720314368,4294963200,2026401792,856150016
